name,FREQUENCY_MHZ,CLOCK_CYCLES_1ST,CLOCK_CYCLES_NEXT,DSP,LUT,FF,TIME_1ST_US,TIME_NEXT_US,THROUGHPUT,DSP_AT,LUT_AT,FF_AT
145CA1L0AB0M1C1F,612.0,71,71,4,449,819,0.116013071895425,0.116013071895425,8.61971830985915,0.464052287581699,52.0898692810458,95.0147058823529
145CA1L0AB1M0C1F,625.0,71,71,4,448,851,0.1136,0.1136,8.80281690140845,0.4544,50.8928,96.6736
145CA1L0AB1M1C1F,738.0,88,88,3,356,806,0.119241192411924,0.119241192411924,8.38636363636364,0.357723577235772,42.449864498645,96.1084010840108
162CA0L0AB0M0C0E,433.333333,67,22,10,753,1479,0.15461538473432,0.050769230808284,19.6969696818182,1.5461538473432,116.425384704943,228.676154022059
162CA0L0AB0M1C0E,562.5,77,23,10,754,1853,0.136888888888889,0.0408888888888889,24.4565217391304,1.36888888888889,103.214222222222,253.655111111111
162CA0L0AB1M0C0E,588.0,77,23,10,760,1835,0.130952380952381,0.0391156462585034,25.5652173913043,1.30952380952381,99.5238095238095,240.297619047619
162CA0L0AB1M1C0E,600.0,96,24,10,937,1934,0.16,0.04,25.0,1.6,149.92,309.44
162CA0L0AB0M0C1E,433.333333,76,22,10,753,1163,0.175384615519527,0.050769230808284,19.6969696818182,1.75384615519527,132.064615486204,203.972307849209
162CA0L0AB0M1C1E,620.0,86,23,10,1090,1912,0.138709677419355,0.0370967741935484,26.9565217391304,1.38709677419355,151.193548387097,265.212903225806
162CA0L0AB1M0C1E,625.0,86,23,10,1091,2065,0.1376,0.0368,27.1739130434783,1.376,150.1216,284.144
162CA0L0AB1M1C1E,738.0,105,24,10,933,1939,0.142276422764228,0.032520325203252,30.75,1.42276422764228,132.743902439024,275.873983739837
162CA1L0AB0M0C1E,433.333333,67,22,10,847,1165,0.15461538473432,0.050769230808284,19.6969696818182,1.5461538473432,130.959230869969,180.126923215482
162CA1L0AB0M1C1E,581.0,77,23,10,940,1872,0.132530120481928,0.0395869191049914,25.2608695652174,1.32530120481928,124.578313253012,248.096385542169
162CA1L0AB1M0C1E,625.0,77,23,10,940,1836,0.1232,0.0368,27.1739130434783,1.232,115.808,226.1952
162CA1L0AB1M1C1E,738.0,96,24,10,1015,2380,0.130081300813008,0.032520325203252,30.75,1.30081300813008,132.032520325203,309.593495934959
162CA0L0AB0M0C0F,412.5,67,67,5,425,815,0.162424242424242,0.162424242424242,6.15671641791045,0.812121212121212,69.030303030303,132.375757575758
162CA0L0AB0M1C0F,562.5,77,77,4,349,793,0.136888888888889,0.136888888888889,7.30519480519481,0.547555555555556,47.7742222222222,108.552888888889
162CA0L0AB1M0C0F,588.0,77,77,4,353,730,0.130952380952381,0.130952380952381,7.63636363636364,0.523809523809524,46.2261904761905,95.5952380952381
162CA0L0AB1M1C0F,600.0,96,96,4,447,708,0.16,0.16,6.25,0.64,71.52,113.28
162CA0L0AB0M0C1F,433.333333,76,76,4,347,528,0.175384615519527,0.175384615519527,5.70175438157895,0.701538462078107,60.8584615852757,92.6030769943101
162CA0L0AB0M1C1F,622.0,86,86,4,480,900,0.138263665594855,0.138263665594855,7.23255813953488,0.553054662379421,66.3665594855305,124.43729903537
162CA0L0AB1M0C1F,625.0,86,86,4,482,894,0.1376,0.1376,7.26744186046512,0.5504,66.3232,123.0144
162CA0L0AB1M1C1F,738.0,105,105,3,342,648,0.142276422764228,0.142276422764228,7.02857142857143,0.426829268292683,48.6585365853659,92.1951219512195
162CA1L0AB0M0C1F,433.333333,68,68,5,459,747,0.156923077043787,0.156923077043787,6.37254901470588,0.784615385218935,72.0276923630982,117.221538551709
162CA1L0AB0M1C1F,600.0,79,79,4,448,813,0.131666666666667,0.131666666666667,7.59493670886076,0.526666666666667,58.9866666666667,107.045
162CA1L0AB1M0C1F,625.0,79,79,4,448,856,0.1264,0.1264,7.91139240506329,0.5056,56.6272,108.1984
