name,success,CLOCK_CYCLES_1ST
366CA0L0AB1M1C0E,SUCCESS,216
366CA0L0AB0M0C1E,SUCCESS,172
366CA0L0AB0M1C1E,SUCCESS,194
366CA0L0AB1M0C1E,SUCCESS,194
366CA0L0AB1M1C1E,SUCCESS,237
366CA1L0AB0M0C1E,SUCCESS,151
366CA1L0AB0M1C1E,SUCCESS,173
366CA1L0AB1M0C1E,SUCCESS,173
366CA1L0AB1M1C1E,SUCCESS,216
366CA0L0AB0M0C0F,SUCCESS,151
366CA0L0AB0M1C0F,SUCCESS,173
366CA0L0AB1M0C0F,SUCCESS,173
366CA0L0AB1M1C0F,SUCCESS,216
366CA0L0AB0M0C1F,SUCCESS,172
366CA0L0AB0M1C1F,SUCCESS,194
366CA0L0AB1M0C1F,SUCCESS,194
366CA0L0AB1M1C1F,SUCCESS,237
366CA1L0AB0M0C1F,SUCCESS,153
366CA1L0AB0M1C1F,SUCCESS,175
366CA1L0AB1M0C1F,SUCCESS,175
366CA1L0AB1M1C1F,SUCCESS,219
383CA0L0AB0M0C0E,SUCCESS,158
383CA0L0AB0M1C0E,SUCCESS,181
383CA0L0AB1M0C0E,SUCCESS,181
383CA0L0AB1M1C0E,SUCCESS,226
383CA0L0AB0M0C1E,SUCCESS,180
383CA0L0AB0M1C1E,SUCCESS,203
383CA0L0AB1M0C1E,SUCCESS,203
383CA0L0AB1M1C1E,SUCCESS,248
383CA1L0AB0M0C1E,SUCCESS,158
383CA1L0AB0M1C1E,SUCCESS,181
383CA1L0AB1M0C1E,SUCCESS,181
383CA1L0AB1M1C1E,SUCCESS,226
383CA0L0AB0M0C0F,SUCCESS,158
383CA0L0AB0M1C0F,SUCCESS,181
383CA0L0AB1M0C0F,SUCCESS,181
383CA0L0AB1M1C0F,SUCCESS,226
383CA0L0AB0M0C1F,SUCCESS,180
383CA0L0AB0M1C1F,SUCCESS,203
383CA0L0AB1M0C1F,SUCCESS,203
383CA0L0AB1M1C1F,SUCCESS,248
383CA1L0AB0M0C1F,SUCCESS,160
383CA1L0AB0M1C1F,SUCCESS,183
383CA1L0AB1M0C1F,SUCCESS,183
383CA1L0AB1M1C1F,SUCCESS,229
400CA0L0AB0M0C0E,SUCCESS,165
400CA0L0AB0M1C0E,SUCCESS,189
400CA0L0AB1M0C0E,SUCCESS,189
400CA0L0AB1M1C0E,SUCCESS,236
400CA0L0AB0M0C1E,SUCCESS,188
400CA0L0AB0M1C1E,SUCCESS,212
400CA0L0AB1M0C1E,SUCCESS,212
400CA0L0AB1M1C1E,SUCCESS,259
400CA1L0AB0M0C1E,SUCCESS,165
400CA1L0AB0M1C1E,SUCCESS,189
400CA1L0AB1M0C1E,SUCCESS,189
400CA1L0AB1M1C1E,SUCCESS,236
400CA0L0AB0M0C0F,SUCCESS,165
400CA0L0AB0M1C0F,SUCCESS,189
400CA0L0AB1M0C0F,SUCCESS,189
400CA0L0AB1M1C0F,SUCCESS,236
400CA0L0AB0M0C1F,SUCCESS,188
400CA0L0AB0M1C1F,SUCCESS,212
400CA0L0AB1M0C1F,SUCCESS,212
400CA0L0AB1M1C1F,SUCCESS,259
400CA1L0AB0M0C1F,SUCCESS,167
400CA1L0AB0M1C1F,SUCCESS,191
400CA1L0AB1M0C1F,SUCCESS,191
400CA1L0AB1M1C1F,SUCCESS,239
417CA0L0AB0M0C0E,SUCCESS,172
417CA0L0AB0M1C0E,SUCCESS,197
417CA0L0AB1M0C0E,SUCCESS,197
417CA0L0AB1M1C0E,SUCCESS,246
417CA0L0AB0M0C1E,SUCCESS,196
417CA0L0AB0M1C1E,SUCCESS,221
417CA0L0AB1M0C1E,SUCCESS,221
417CA0L0AB1M1C1E,SUCCESS,270
417CA1L0AB0M0C1E,SUCCESS,172
417CA1L0AB0M1C1E,SUCCESS,197
417CA1L0AB1M0C1E,SUCCESS,197
417CA1L0AB1M1C1E,SUCCESS,246
417CA0L0AB0M0C0F,SUCCESS,172
417CA0L0AB0M1C0F,SUCCESS,197
417CA0L0AB1M0C0F,SUCCESS,197
417CA0L0AB1M1C0F,SUCCESS,246
417CA0L0AB0M0C1F,SUCCESS,196
417CA0L0AB0M1C1F,SUCCESS,221
417CA0L0AB1M0C1F,SUCCESS,221
417CA0L0AB1M1C1F,SUCCESS,270
417CA1L0AB0M0C1F,SUCCESS,174
417CA1L0AB0M1C1F,SUCCESS,199
417CA1L0AB1M0C1F,SUCCESS,199
417CA1L0AB1M1C1F,SUCCESS,249
434CA0L0AB0M0C0E,SUCCESS,179
434CA0L0AB0M1C0E,SUCCESS,205
434CA0L0AB1M0C0E,SUCCESS,205
434CA0L0AB1M1C0E,SUCCESS,256
434CA0L0AB0M0C1E,SUCCESS,204
434CA0L0AB0M1C1E,SUCCESS,230
434CA0L0AB1M0C1E,SUCCESS,230
434CA0L0AB1M1C1E,SUCCESS,281
434CA1L0AB0M0C1E,SUCCESS,179
434CA1L0AB0M1C1E,SUCCESS,205
434CA1L0AB1M0C1E,SUCCESS,205
434CA1L0AB1M1C1E,SUCCESS,256
434CA0L0AB0M0C0F,SUCCESS,179
434CA0L0AB0M1C0F,SUCCESS,205
434CA0L0AB1M0C0F,SUCCESS,205
434CA0L0AB1M1C0F,SUCCESS,256
434CA0L0AB0M0C1F,SUCCESS,204
434CA0L0AB0M1C1F,SUCCESS,230
434CA0L0AB1M0C1F,SUCCESS,230
434CA0L0AB1M1C1F,SUCCESS,281
434CA1L0AB0M0C1F,SUCCESS,181
434CA1L0AB0M1C1F,SUCCESS,207
434CA1L0AB1M0C1F,SUCCESS,207
434CA1L0AB1M1C1F,SUCCESS,259
451CA0L0AB0M0C0E,SUCCESS,186
451CA0L0AB0M1C0E,SUCCESS,213
451CA0L0AB1M0C0E,SUCCESS,213
451CA0L0AB1M1C0E,SUCCESS,266
451CA0L0AB0M0C1E,SUCCESS,212
451CA0L0AB0M1C1E,SUCCESS,239
451CA0L0AB1M0C1E,SUCCESS,239
451CA0L0AB1M1C1E,SUCCESS,292
451CA1L0AB0M0C1E,SUCCESS,186
451CA1L0AB0M1C1E,SUCCESS,213
451CA1L0AB1M0C1E,SUCCESS,213
451CA1L0AB1M1C1E,SUCCESS,266
451CA0L0AB0M0C0F,SUCCESS,186
451CA0L0AB0M1C0F,SUCCESS,213
451CA0L0AB1M0C0F,SUCCESS,213
451CA0L0AB1M1C0F,SUCCESS,266
451CA0L0AB0M0C1F,SUCCESS,212
451CA0L0AB0M1C1F,SUCCESS,239
451CA0L0AB1M0C1F,SUCCESS,239
451CA0L0AB1M1C1F,SUCCESS,292
451CA1L0AB0M0C1F,SUCCESS,188
451CA1L0AB0M1C1F,SUCCESS,215
451CA1L0AB1M0C1F,SUCCESS,215
451CA1L0AB1M1C1F,SUCCESS,269
468CA0L0AB0M0C0E,SUCCESS,193
468CA0L0AB0M1C0E,SUCCESS,221
468CA0L0AB1M0C0E,SUCCESS,221
468CA0L0AB1M1C0E,SUCCESS,276
468CA0L0AB0M0C1E,SUCCESS,220
468CA0L0AB0M1C1E,SUCCESS,248
468CA0L0AB1M0C1E,SUCCESS,248
468CA0L0AB1M1C1E,SUCCESS,303
468CA1L0AB0M0C1E,SUCCESS,193
468CA1L0AB0M1C1E,SUCCESS,221
468CA1L0AB1M0C1E,SUCCESS,221
468CA1L0AB1M1C1E,SUCCESS,276
468CA0L0AB0M0C0F,SUCCESS,193
468CA0L0AB0M1C0F,SUCCESS,221
468CA0L0AB1M0C0F,SUCCESS,221
